S/N,Video_ID,text,label,Language
1,FXNoo4BjNOE,Well it&#39;s allowed,Neutral,English
2,FXNoo4BjNOE,Asalamu alekum barka da sallah wai yaushe za a dawo da Shirin labarina,Neutral,Hausa
3,FXNoo4BjNOE,"Pls I don’t understand, I thought labarina ended with season 7 episode 12. Pls somebody should explain for me",Neutral,English
4,FXNoo4BjNOE,Yarayu waka daha<br>Akashe taman ahuta,Negetive,Hausa
5,FXNoo4BjNOE,Ah Abu yayikyau sosai❤❤,Positive,Hausa
6,FXNoo4BjNOE,Allah sarki talaka bawan Allah,Neutral,Hausa
7,FXNoo4BjNOE,Daman Wallahi Ni tunda naga kalodasu a mota nasan Aminu SAIRA kashesu zakayi 🙄 Yasin wannan harkar ba DARAJA 🥺🥺🥺,Negetive,Hausa
8,FXNoo4BjNOE,Allah sarki Maryam kawar kirkii❤😢,Positive,Hausa
9,FXNoo4BjNOE,"pls I don’t understand, I thought labarina ended with season 7 episode 12. Pls somebody should explain for me",Neutral,English
10,FXNoo4BjNOE,Allah Yabiya ❤❤❤❤,Positive,Hausa
11,FXNoo4BjNOE,"Wow Aminu Saira with another fantastic movie, masha Allah ❤❤",Positive,English
12,FXNoo4BjNOE,Wllh kinmin daidai,Positive,Hausa
13,FXNoo4BjNOE,Much love for maryam ❤❤,Positive,English
14,FXNoo4BjNOE,I like maryam so much wlh 😊,Positive,English
15,FXNoo4BjNOE,Mal aminu saira bbu kai bbu wutan jahanama insha Allahu sbd kana faranta mana rai,Positive,Hausa
16,FXNoo4BjNOE,"Alhmdullah labarina wallahi Masha Allah yy dadi sosai, har yafi wancan",Positive,Hausa
17,FXNoo4BjNOE,"Gaskiya Maryam bata son arziqi. Ni dai bazan bar qawata ta auri talakan tulus ba, sabida zata shiga matsin rayuwa ko da kuwa daga baya zaiyi kudi, idan yayi ayi. Tana da mugunta anma bata San tanayi ba kuma maza zasu dauka kaman Jamila nasan duniya meanwhile ko su baza su so talaucin da suke ciki ba",Negetive,Hausa
18,FXNoo4BjNOE,Aminu Saira wlh film dinnan baya dadi wlh yanxu,Negetive,Hausa
19,FXNoo4BjNOE,your indeed a person with a dual exprience seira,Positive,English
20,FXNoo4BjNOE,Marya allah sakamiki da aljanar fidasi,Positive,Hausa
21,FXNoo4BjNOE,Maryama allah miki albrka mai sunan diyata allah miki albrk yarabi,Positive,Hausa
22,FXNoo4BjNOE,I love Maryam 🙏,Positive,English
23,FXNoo4BjNOE,This good series&#39; Saira,Positive,English
24,FXNoo4BjNOE,During uwarku,Negetive,Hausa
25,FXNoo4BjNOE,Very god,Positive,English
26,FXNoo4BjNOE,Wanna yafi labarina anfani,Positive,Hausa
27,FXNoo4BjNOE,Good Maryam but i love Alhaji lawan i hope is a good man,Positive,English
28,FXNoo4BjNOE,I think it&#39;s time for me to start watching this series now... ❤,Positive,English
29,FXNoo4BjNOE,A dawo da wakar Salim &quot;Rayuwa Kaddara Ce&quot; 🎉❤,Neutral,Hausa
30,FXNoo4BjNOE,A maida sound track na labarina ta Asnanic mana bai kamata ace ba sound track ba,Negetive,Hausa
31,FXNoo4BjNOE,AMINU SAIRA ka ba wa masu Izzar So su chanza akalar fim ɗin su kamar yadda kayi ko abin na su ya yi ma&#39;ana.,Positive,Hausa
32,FXNoo4BjNOE,Maryam is a very good friend,Positive,English
33,FXNoo4BjNOE,Nazo karanta comment 😅😅😅,Neutral,Hausa
34,FXNoo4BjNOE,This maryam is beautiful she act so good 😍…And the Jamila can act confidently unlike Sumayya😂,Positive,English
35,FXNoo4BjNOE,Wow malan aminu saira Allah yasaka da alkhairi,Positive,Hausa
36,FXNoo4BjNOE,Amiinu saera mazan qoqari ammade babban director anunawa mutanen nan 2 ya ubangiji yake lamarinsa please 🙏,Positive,Hausa
37,FXNoo4BjNOE,Yan zainin wayo kawai zakuyi film GOMBE kuce kano ne hmmm,Negetive,Hausa
38,FXNoo4BjNOE,Maganar Gskia maryam tazaqe dayawa,Negetive,Hausa
39,FXNoo4BjNOE,"💔 Subhanallah Wallahi kada mu debo soyayya da zafi,Domin matan yanzu Kam Sai Allah 🥲",Neutral,Hausa
40,FXNoo4BjNOE,Really I love you mar yam❤,Positive,English
41,FXNoo4BjNOE,Kaiiiii Allah ya rabamu da Talauci,Neutral,Hausa
42,FXNoo4BjNOE,Saira is an intelligent,Positive,English
43,FXNoo4BjNOE,Dake naka rugar fullani basu iya saka Kaya bane koh ba mutane bane karki rena muna da wayo,Negetive,Hausa
44,FXNoo4BjNOE,"This change of dimension will cost Saira movies a lot, in terms of the numerous viewers of these episodes.<br>Hope, the new trend wld arouse and sustain the interest of those still on board.",Neutral,English
45,FXNoo4BjNOE,His friends are amazing ❤,Positive,English
46,FXNoo4BjNOE,Maryam hassada ce dake,Negetive,Hausa
47,FXNoo4BjNOE,It might be Alameen is very reach n sent Alhaji his boy in other to test her loyalty,Neutral,English
48,FXNoo4BjNOE,I hate this Maryam already wallahi 😒,Negetive,English
49,FXNoo4BjNOE,Am I the only one thinking labarina isn’t longer interested 😫,Negetive,English
50,FXNoo4BjNOE,Am inpress hope you wont disappiont us like labarina u started on a high peach then later fall down pls keep its up,Positive,English
51,FXNoo4BjNOE,Slm wey labarin Soumaya ya ida neh,Neutral,Hausa
52,FXNoo4BjNOE,keep on the good work Mr director,Positive,English
53,FXNoo4BjNOE,malam aminu sairah duniyane gsky wllh wannn siries din tabbas xaaje dashi,Positive,Hausa
54,FXNoo4BjNOE,Nice one,Positive,English
55,FXNoo4BjNOE,Wow wow 😮 that&#39;s very good series 💋,Positive,English
56,FXNoo4BjNOE,I loved this series❤️ it&#39;s more realistic than the previous one,Positive,English
57,FXNoo4BjNOE,Maryam is beautiful,Positive,English
58,FXNoo4BjNOE,Masha allah tabraka Allah<br>Gaskiya babban director yanxo  aka Fara labarina ae babban tamkara duk masu Shirin Hausa movie Allah ya Kara basira da Kuma hazaka One ❤️,Positive,Hausa
59,FXNoo4BjNOE,Allah sarki Maryam..... Muna tare dake❤❤,Positive,Hausa
60,FXNoo4BjNOE,Djamila bata yi ba,Negetive,Hausa
61,FXNoo4BjNOE,Zamu gani da an barni a season 5 amma kwana daya within 24hrs na kawo s8E1,Neutral,Hausa
62,FXNoo4BjNOE,"Lukman,ummmi, presido,sumayya are all joking, look at the best chapter here kudos to maryam and alamin ❤❤❤",Positive,English
63,FXNoo4BjNOE,I really like maryam from the bottom of my heart ❤❤❤,Positive,English
64,FXNoo4BjNOE,Pls Aminu Saira wot is going on I don&#39;t understand wats happening here were is our old labarina of sumaiyya nd others,Neutral,English
65,FXNoo4BjNOE,Make money not friends,Neutral,English
66,FXNoo4BjNOE,Nice one the best director we really enjoyed this season very heart touching and comedy,Positive,English
67,FXNoo4BjNOE,Macha allah allah yakara basira yayana fatan alheri wanna chirin ya dadi❤❤❤❤❤❤❤❤,Positive,Hausa
68,FXNoo4BjNOE,This is useless series.,Negetive,English
69,FXNoo4BjNOE,"They should have ended the last season properly, haba.<br>Remain one episode to complete 13 episodes. A proper ending was needed.",Negetive,English
70,FXNoo4BjNOE,Daga yau bazan kara kallan wannan firm naka ba dan iskan banza kawai,Negetive,Hausa
71,FXNoo4BjNOE,Wato ana nuna mana matan yanzu na wannan zamani duk ba Yan halak bane Kenan mtssss,Negetive,Hausa
72,FXNoo4BjNOE,Wow! Kudos to you elegant director Aminu saira👏,Positive,English
73,FXNoo4BjNOE,Masha Allah agaskiya wanna lbrn yayi kyau,Positive,Hausa
74,FXNoo4BjNOE,sai uban tallah,Negetive,Hausa
75,FXNoo4BjNOE,wly saira abinda kayi baiyiba kabata labarina wly,Negetive,Hausa
76,FXNoo4BjNOE,Welcome to the new story Sorry Aminu saira,Neutral,English
77,FXNoo4BjNOE,I WILL NEVER WASTE MY DATA WATCH THIS SERIES AGAIN...,Negetive,English
78,FXNoo4BjNOE,"I really appreciate this series, it looks like is more better than the others.",Positive,English
79,FXNoo4BjNOE,Wlh dama anchawa fim din title gaskia …….amman a tunanina kenan fa <br>aminu saira kam sai sanbarka❤,Positive,Hausa
80,FXNoo4BjNOE,Bad idea 😠,Negetive,English
81,FXNoo4BjNOE,Yeeehhh Aminu saira with another banger!!!🔥💯  what a touching story. Kudus to Mariam I love the way she’s acting and telling the truth to her friend Jamila which she chosed money after faisal. I guest in the story Faisal will get married with Mariam and they become rich together.<br>    And Alhaji Lawal will betrayed jamila and she will lose it all.,Positive,English
82,FXNoo4BjNOE,Kai Saira kaburgeni sosai dama nayi tsammanin ganin ladidi acikin film din labarina tun lokacin batan sumayya nayi zatan zata maye gurbin  sai gashi yanzu tana taka rawar Maryam a labarin Jamila.,Positive,Hausa
83,FXNoo4BjNOE,Gaskiya Malam Babu Kamarka A Kannywood Allah Yarabaka Da Iyayenka Lfy,Positive,Hausa
84,FXNoo4BjNOE,Watan barin kallon lqbarina yazo,Negetive,Hausa
85,FXNoo4BjNOE,Hmmm tab lallai jamila Allah yasa karkiyi dana sani nan gaba,Neutral,Hausa
86,FXNoo4BjNOE,I just like this Maryam acting seriously ❤❤,Positive,English
87,FXNoo4BjNOE,Aminu saira banji  dadi ba ❤❤❤,Negetive,Hausa
88,FXNoo4BjNOE,السلام عليكم ورحمة الله وبركاته Aminu saira gaskiya bakayi muna addaçiba akan fimdi labarina bakayimuna halacciba  wllh da cewa ne aka yi Labarina yakai karshe da zamji ba dadi amma ba hakaba  kazo kadoko wani bazza fimdi kana cewa Labarina Bamaso wannan da kakeyi ayazu kabarshi kawe mugode kaji Nide wannan inshine labarina Bazan kallahba 🇱🇾🇳🇪👆😮,Negetive,Hausa
89,FXNoo4BjNOE,Can&#39;t wait for the next week 🎉🎉🎉,Positive,English
90,FXNoo4BjNOE,"Wow, interesting",Positive,English
91,FXNoo4BjNOE,"Inna lillahi wa Inna ilaihir Raji&#39;un, Allah yayi mana tsari da Talauci 😭",Neutral,Hausa
92,FXNoo4BjNOE,Kuma zai dinga zuwa kowane sati ne??,Neutral,Hausa
93,FXNoo4BjNOE,Nifa gaskiya Aminu saira ka rike mana jamila gam dan kar ta gudu dan wlh banga wadda zata iya mayemin gurbin ta ba 😊,Positive,Hausa
94,FXNoo4BjNOE,Ni na auri talaka kekuma kinje kin jajimo matsiyaci hahaha,Negetive,Hausa
95,FXNoo4BjNOE,Malam aminu Saira sabon lbr allah yakara basiri,Positive,Hausa
96,FXNoo4BjNOE,IM OFFICIALLY OUT...GOOD LUCK TO ALL OF YOU.,Negetive,English
97,FXNoo4BjNOE,Maryam ko &#39;yar bakinciki😂😂😂,Negetive,Hausa
98,FXNoo4BjNOE,Nice and Good job saira,Positive,English
99,FXNoo4BjNOE,"Saira Masha Allah, hikima arziki ce",Positive,Hausa
100,FXNoo4BjNOE,Pls try and include translation for this series,Neutral,English
101,FXNoo4BjNOE,Wow but what about Abba Dan sarki,Neutral,English
102,FXNoo4BjNOE,"This is the first time for me to made comments in this series I love that type of friends 💪💪al,Amin frds",Positive,English
103,FXNoo4BjNOE,What an interesting story<br>Well done Malam Aminu Saira b,Positive,English
104,FXNoo4BjNOE,Lallai Saira Ka samo actor Dan mutuwar so Wlh Saifullahi (Sadiq Sani Sadiq) ya iya acting,Positive,Hausa
105,FXNoo4BjNOE,Ngl labarina is now trash,Negetive,English
106,FXNoo4BjNOE,"Hmmm tab lallai ma mlm aminu saira ynz nan angama labarina na su sumayya kenan 😂😂ynz kuma anshiga wani labarin ko😂😂😂😂hhhh kai jama,a mukuma yan kallo Allah ya shiryemu daga wannan labarin sai wannan labarin 😂😂😂😂😂",Neutral,Hausa
107,FXNoo4BjNOE,Amin Saira I am  shots<br> words  this new episode is very very interested  May God blessed you in drop than in excess,Positive,English
108,FXNoo4BjNOE,ya Allah ya bamu Arziki mai dauwama duniya da lahira 🤲,Neutral,Hausa
109,FXNoo4BjNOE,"This series is going to be one of the best series you&#39;ve ever produce, because this series is educative, you&#39;re one of the director in the Hausa film industry,posterity will be kind with you.",Positive,English
110,FXNoo4BjNOE,hmmm interesting  😇,Positive,English
111,FXNoo4BjNOE,Gaskiya Aminu saira duniya ne,Positive,Hausa
112,FXNoo4BjNOE,Allah sarki maryam kibirgeni Akwai Allan alamin kayi hakuri,Positive,Hausa
113,FXNoo4BjNOE,This very diversion really touches the heart of the individual. I anticipated more fun here than the old Labarina session. 😂😂😂,Positive,English
114,FXNoo4BjNOE,Gaskiyane Saira ALLAH (S W T) Yaƙara Basira,Positive,Hausa
115,FXNoo4BjNOE,Aminu Saira is best director,Positive,English
116,FXNoo4BjNOE,Alaji kudi sunyi a rayuwa,Neutral,Hausa
117,FXNoo4BjNOE,Aminu saira duniyane,Positive,Hausa
118,FXNoo4BjNOE,Aminu Saira bakayiba,Negetive,Hausa
119,FXNoo4BjNOE,Shikuma lbr waye kuka barmawa😮,Neutral,Hausa
120,FXNoo4BjNOE,To yanzu shi wancan shikenan an gama labarin su sumayya da presido,Neutral,Hausa
121,FXNoo4BjNOE,Just the beginning pls keep it up mr saira and also mind this is the 1st time am watching ur series keep the good work Hurrrrrrrrray,Positive,English
122,FXNoo4BjNOE,Gaskiya ne irin wanna abun shine me faruwa a soyaiyar wanna zamanin mace Bata tabba son namiji 90% sai dai Kai kamata 90% domin su soyaiyar su Bata wuce kudi.😅😅😅😅,Neutral,Hausa
123,FXNoo4BjNOE,This is bushit,Negetive,English
124,FXNoo4BjNOE,Saira i didn&#39;t enjoy this new season at all wlh,Negetive,English
125,FXNoo4BjNOE,"This is the amazing episode, very nice aminu Saira never disappoint.waching from niger republic",Positive,English
126,FXNoo4BjNOE,Allah yasa al&#39;amin din ya auri Maryam kuma allah ya bashi arjiki na alhaji lawal kuma ya kare bayan auran jamila din,Neutral,Hausa
127,FXNoo4BjNOE,"Kudos to Maryam,  she&#39;s very kind and compassionate.. i really like her acting 👏",Positive,English
128,FXNoo4BjNOE,Wow ml Aminu saira it&#39;s very very nice,Positive,English
129,FXNoo4BjNOE,Masha Allah wlh aminu saira kai duniyane kasani kuka da idanuna<br>wannan labarin yafimin wancan dadi <br>Allah yakara basira da akano nake wlh konawa zan kashe sai naganka maka jinjina,Positive,Hausa
130,FXNoo4BjNOE,"The movie has impressed me, but there is need to improve the character&#39;s dialogue as it is in former one.Hence, the atmospheric tenses is quite okay from the begging that help the ultimate suspense to over come!Welldone!",Positive,English
131,FXNoo4BjNOE,Allah sarki da farko ban fahinci film din ba ashe akwai dadi abin tausayi wlh😢😢😢,Positive,Hausa
132,FXNoo4BjNOE,Maryam will be Sadiq Sani Sadiq fiancee in shaa Allah ❤,Neutral,English
133,FXNoo4BjNOE,Amma gaskiya daractan nan bai san aikin chiba,Negetive,Hausa
134,FXNoo4BjNOE,This new Labarina yamin dadi akwai karatu aciki,Positive,Hausa
135,FXNoo4BjNOE,Banda abun al-ameen tsaleliyar budurwa kamar jamila akwati daya na lefe😅,Neutral,Hausa
136,FXNoo4BjNOE,Me imani irinna Maryam wuya gareshi,Positive,Hausa
137,FXNoo4BjNOE,Arziki na Allah ne,Neutral,Hausa
138,FXNoo4BjNOE,AMINU SAIRA kachuci Al ameen,Negetive,Hausa
139,FXNoo4BjNOE,Bawan Allah na nema me kuddi ya kunnokai,Neutral,Hausa
140,FXNoo4BjNOE,Hhhh this new series is a funny and hot 1,Positive,English
141,FXNoo4BjNOE,I did not like this series 😢😢,Negetive,English
142,FXNoo4BjNOE,"Gaskiya bamu ji dadin labarina din nan ba, Bamayi",Negetive,Hausa
143,FXNoo4BjNOE,"GASKIYA BANJI DADIN ZUWAN ALHAJI LAWAL BA, KUMA AN ZALINCI MARYAM WLH BAKA KYAUTABA AMINU SAIRA",Negetive,Hausa
