ID ,Annotator 1,Annotator 2,Annotator 3
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Neutral,Neutral,Neutral
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Positive,Positive,Positive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Negetive,Negetive,Negetive
FXNoo4BjNOE,Positive,Positive,Positive
